id,studentId,semester
2011-02,31312b86-09b0-4afe-b63b-7c15f8c2ef71,1
2012-01,31312b86-09b0-4afe-b63b-7c15f8c2ef71,2
2012-02,31312b86-09b0-4afe-b63b-7c15f8c2ef71,3
2013-01,31312b86-09b0-4afe-b63b-7c15f8c2ef71,4
2013-02,31312b86-09b0-4afe-b63b-7c15f8c2ef71,5
2014-01,31312b86-09b0-4afe-b63b-7c15f8c2ef71,6
2014-02,31312b86-09b0-4afe-b63b-7c15f8c2ef71,7
2015-01,31312b86-09b0-4afe-b63b-7c15f8c2ef71,8
2015-02,31312b86-09b0-4afe-b63b-7c15f8c2ef71,9
2016-01,31312b86-09b0-4afe-b63b-7c15f8c2ef71,10
2012-02,e1628900-7fff-45e0-9a66-421b329f6a6c,1
2013-01,e1628900-7fff-45e0-9a66-421b329f6a6c,2
2013-02,e1628900-7fff-45e0-9a66-421b329f6a6c,3
2014-01,e1628900-7fff-45e0-9a66-421b329f6a6c,4
2014-02,e1628900-7fff-45e0-9a66-421b329f6a6c,5
2015-01,e1628900-7fff-45e0-9a66-421b329f6a6c,6
2015-02,e1628900-7fff-45e0-9a66-421b329f6a6c,7
2016-01,e1628900-7fff-45e0-9a66-421b329f6a6c,7
2016-02,e1628900-7fff-45e0-9a66-421b329f6a6c,0
2012-02,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,1
2013-01,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,1
2013-02,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,1
2014-01,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,2
2014-02,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,2
2015-01,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,2
2015-02,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,2
2016-01,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,3
2016-02,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,3
2017-01,89c32c0f-76b5-43d2-abb0-c8e1a54421dc,3
2012-01,df4a906a-4792-49e4-86c5-a445c0f05262,1
2012-02,df4a906a-4792-49e4-86c5-a445c0f05262,1
2013-01,df4a906a-4792-49e4-86c5-a445c0f05262,1
2013-02,df4a906a-4792-49e4-86c5-a445c0f05262,2
2014-01,df4a906a-4792-49e4-86c5-a445c0f05262,2
2014-02,df4a906a-4792-49e4-86c5-a445c0f05262,3
2015-01,df4a906a-4792-49e4-86c5-a445c0f05262,3
2015-02,df4a906a-4792-49e4-86c5-a445c0f05262,4
2016-01,df4a906a-4792-49e4-86c5-a445c0f05262,4
2016-02,df4a906a-4792-49e4-86c5-a445c0f05262,4
2011-01,7f9695e9-0093-4ea1-b5a4-059a5c89de70,1
2011-02,7f9695e9-0093-4ea1-b5a4-059a5c89de70,2
2012-01,7f9695e9-0093-4ea1-b5a4-059a5c89de70,3
2012-02,7f9695e9-0093-4ea1-b5a4-059a5c89de70,4
